V	J	scaling.factor
V1	J1-1	0.721003982040947
V1	J1-2	0.349696159653268
V1	J1-3	3.27078057580019
V1	J1-4	0.705138472488198
V1	J1-5	0.487183403913687
V1	J1-6	0.597990983735461
V1	J1-7	0.370618284576759
V1	J2-1	0.465992142942768
V1	J2-2	1.81236379084694
V1	J2-3	0.491246693295339
V1	J2-4	0.482379120681532
V1	J2-5	0.891045286265994
V1	J2-7	2.37180020783023
V121	J1-1	0.923793826388157
V121	J1-2	0.292512260990794
V121	J1-3	2.8183722850275
V121	J1-4	4.20608056494779
V121	J1-5	0.829498649910443
V121	J1-6	1.8753594856695
V121	J1-7	1.32820531552998
V121	J2-1	0.621263010583647
V121	J2-2	4.28617633288855
V121	J2-3	0.463455963616465
V121	J2-4	0.686955916828845
V121	J2-5	0.657660817040823
V121	J2-7	1.88496398714302
V131	J1-1	0.638903943846681
V131	J1-2	0.745084286620194
V131	J1-3	0.509815273929975
V131	J1-4	0.813666181622287
V131	J1-5	1.14302256619131
V131	J1-6	0.769635317619806
V131	J1-7	0.830342492592327
V131	J2-1	0.523259793513624
V131	J2-2	0.760896853854169
V131	J2-3	0.447057268154232
V131	J2-4	0.449946174166397
V131	J2-5	0.595770991189891
V131	J2-7	0.957210326795531
V132	J1-1	0.883674123890749
V132	J1-2	0.691006973095451
V132	J1-3	1.18788445696832
V132	J1-4	0.707786422697824
V132	J1-5	1.59238135352674
V132	J1-6	0.750093184110501
V132	J1-7	2.31208862217666
V132	J2-1	0.83733855670145
V132	J2-2	0.673396620455069
V132	J2-3	0.754827109130265
V132	J2-4	0.926836978223145
V132	J2-5	1.12482723325144
V132	J2-7	0.777378815513262
V133	J1-1	1.06539444837996
V133	J1-2	1.01902287790841
V133	J1-3	1.83872818651315
V133	J1-4	1.52860423465977
V133	J1-5	1.36563612488393
V133	J1-6	1.57814038537327
V133	J1-7	0.730355329858259
V133	J2-1	0.911312015517958
V133	J2-2	0.95211347445917
V133	J2-3	0.649089119617364
V133	J2-4	1.33994320008324
V133	J2-5	0.75190141011326
V133	J2-7	1.31065196980687
V14	J1-1	0.639316482660236
V14	J1-2	0.338772652601251
V14	J1-3	1.4010230229914
V14	J1-4	3.10639089637353
V14	J1-5	3.20778157536255
V14	J1-6	0.796478024440943
V14	J1-7	0.580422348840736
V14	J2-1	1.11529693361236
V14	J2-2	0.516237879675642
V14	J2-3	1.61801423254912
V14	J2-4	1.56894082200806
V14	J2-5	1.09545265194107
V14	J2-7	0.938228347430824
V15	J1-1	1.86023980610367
V15	J1-2	1.13467674557312
V15	J1-3	1.72283027287196
V15	J1-4	5.31343433250325
V15	J1-5	5.73167723357517
V15	J1-6	1.2902117561606
V15	J1-7	0.834197740917112
V15	J2-1	1.77597122676373
V15	J2-2	0.439229500284867
V15	J2-3	1.74274101681386
V15	J2-4	2.54662810310077
V15	J2-5	3.63991111003064
V15	J2-7	0.877666932385231
V16	J1-1	0.815528414297136
V16	J1-2	0.635855299533866
V16	J1-3	4.30441297456079
V16	J1-4	1.16752828858142
V16	J1-5	1.0601936831786
V16	J1-6	0.814377401221623
V16	J1-7	0.652855427279956
V16	J2-1	0.877913272348459
V16	J2-2	15.3662519129529
V16	J2-3	1.04883927351093
V16	J2-4	0.626839572831416
V16	J2-5	0.776884452029004
V16	J2-7	2.15161019529392
V17	J1-1	1.05468141638093
V17	J1-2	0.649696383321194
V17	J1-3	7.23217097502931
