V	J	scaling.factor
V1	J1-1	1.38695489194012
V1	J1-2	2.8596253415866
V1	J1-3	0.305737415526675
V1	J1-4	1.41816116836078
V1	J1-5	2.05261507671794
V1	J1-6	1.67226601604144
V1	J1-7	2.698193914372
V1	J2-1	2.14595892901743
V1	J2-2	0.551765603048539
V1	J2-3	2.03563711196076
V1	J2-4	2.07305821733566
V1	J2-5	1.12227741441806
V1	J2-7	0.421620673064541
V121	J1-1	1.08249262057725
V121	J1-2	3.4186601156916
V121	J1-3	0.354814729520462
V121	J1-4	0.237751033190781
V121	J1-5	1.20554747148529
V121	J1-6	0.533231099232692
V121	J1-7	0.752895646710296
V121	J2-1	1.60962423798666
V121	J2-2	0.233308180143414
V121	J2-3	2.15770230292592
V121	J2-4	1.45569748436878
V121	J2-5	1.520540640538
V121	J2-7	0.530514114232851
V131	J1-1	1.56518050894983
V131	J1-2	1.34213003543014
V131	J1-3	1.96149478278941
V131	J1-4	1.22900523898658
V131	J1-5	0.874873366089454
V131	J1-6	1.29931667259323
V131	J1-7	1.2043223235246
V131	J2-1	1.91109657649239
V131	J2-2	1.31423857903302
V131	J2-3	2.23684988755178
V131	J2-4	2.22248806060563
V131	J2-5	1.67849729978086
V131	J2-7	1.04470247761296
V132	J1-1	1.13163888470229
V132	J1-2	1.44716339911937
V132	J1-3	0.841832717091165
V132	J1-4	1.41285558458209
V132	J1-5	0.627990272421391
V132	J1-6	1.33316769327247
V132	J1-7	0.432509372871086
V132	J2-1	1.1942600660112
V132	J2-2	1.48500893771076
V132	J2-3	1.32480668474166
V132	J2-4	1.07893839315423
V132	J2-5	0.889025416916147
V132	J2-7	1.28637413323355
V133	J1-1	0.938619495831432
V133	J1-2	0.981332236674158
V133	J1-3	0.543854174496742
V133	J1-4	0.654191567265006
V133	J1-5	0.732259480968981
V133	J1-6	0.633657188719286
V133	J1-7	1.36919655285335
V133	J2-1	1.09731901146023
V133	J2-2	1.05029497725366
V133	J2-3	1.54062049382294
V133	J2-4	0.746300290891344
V133	J2-5	1.32996159675957
V133	J2-7	0.762979053964534
V14	J1-1	1.56417052762184
V14	J1-2	2.95183212789328
V14	J1-3	0.71376414490666
V14	J1-4	0.321916987706673
V14	J1-5	0.311741923976534
V14	J1-6	1.25552742111361
V14	J1-7	1.72288334864651
V14	J2-1	0.89662220872524
V14	J2-2	1.93709148315174
V14	J2-3	0.618041535039242
V14	J2-4	0.637372669493114
V14	J2-5	0.912864648442874
V14	J2-7	1.06583861246393
V15	J1-1	0.537565101401915
V15	J1-2	0.881308270308212
V15	J1-3	0.58044023009475
V15	J1-4	0.188202194178409
V15	J1-5	0.174469000826176
V15	J1-6	0.77506656967364
V15	J1-7	1.19875654290385
V15	J2-1	0.563072185478059
V15	J2-2	2.2767141081176
V15	J2-3	0.573808724504709
V15	J2-4	0.392676103268632
V15	J2-5	0.274731983768577
V15	J2-7	1.1393843872895
V16	J1-1	1.2261988453975
V16	J1-2	1.57268485571023
V16	J1-3	0.232319716047236
V16	J1-4	0.856510295964672
V16	J1-5	0.943223880566684
V16	J1-6	1.22793191277156
V16	J1-7	1.53173269029313
V16	J2-1	1.1390646792763
V16	J2-2	0.0650776783866895
V16	J2-3	0.953434930647242
V16	J2-4	1.59530451385357
V16	J2-5	1.28719270592722
V16	J2-7	0.464768201130129
V17	J1-1	0.948153617261446
V17	J1-2	1.53918049364548
V17	J1-3	0.138271067353458
V17	J1-4	0.748046149768018
V17	J1-5	1.27517384882789
V17	J1-6	0.754517335828711
V17	J1-7	1.28432338293298
V17	J2-1	0.934087030693794
V17	J2-2	0.327223566480387
V17	J2-3	1.31911704422425
V17	J2-4	0.875077766080528
V17	J2-5	0.837953684737292
V17	J2-7	0.242263510573695
V19	J1-1	1.19897931177084
V19	J1-2	2.8295568030493
V19	J1-3	0.757344042508911
V19	J1-4	0.181970956875601
V19	J1-5	0.196966137443568
V19	J1-6	1.58925807809491
V19	J1-7	2.11472667100467
V19	J2-1	0.664493522415168
V19	J2-2	1.9637777335573
V19	J2-3	0.543880289457287
V19	J2-4	0.756499208090982
V19	J2-5	0.700417641546269
V19	J2-7	1.28360771775348
V2	J1-1	0.924812198061615
V2	J1-2	1.73242571852551
V2	J1-3	0.150297457693139
V2	J1-4	0.818315296206262
V2	J1-5	1.00963513876449
V2	J1-6	1.16252120972451
V2	J1-7	0.949622274478841
V2	J2-1	1.29424961205595
V2	J2-2	0.689990839688496
V2	J2-3	1.24908416033235
V2	J2-4	1.09607142333185
V2	J2-5	1.205513183632
V2	J2-7	0.410964924140202
V20	J1-1	0.595402946558496
V20	J1-2	0.685786232920105
V20	J1-3	0.389068545035782
V20	J1-4	0.503808050122798
V20	J1-5	0.423356521061351
V20	J1-6	0.335166169857039
V20	J1-7	0.552199490756831
V20	J2-1	0.356566194370589
V20	J2-2	0.0516025620848004
V20	J2-3	0.389198900218772
V20	J2-4	0.520308632664707
V20	J2-5	0.567588908196385
V20	J2-7	0.519526474202482
V23	J1-1	1.19359376164792
V23	J1-2	2.14232833239883
V23	J1-3	0.191442640249171
V23	J1-4	0.691652250474457
V23	J1-5	1.29923928732055
V23	J1-6	1.10535679084246
V23	J1-7	1.2563080755429
V23	J2-1	2.47989817461848
V23	J2-2	1.46140721114863
V23	J2-3	2.17456724763962
V23	J2-4	1.41426225237673
V23	J2-5	1.73217548035136
V23	J2-7	0.552529645129418
V24	J1-1	0.857455755207091
V24	J1-2	1.97466054161457
V24	J1-3	0.518946620438552
V24	J1-4	0.800528018242279
V24	J1-5	0.734468687462293
V24	J1-6	1.56093538221938
V24	J1-7	2.16781772865497
V24	J2-1	1.3429493393318
V24	J2-2	1.44557118878788
V24	J2-3	2.44152189356636
V24	J2-4	1.36646372824324
V24	J2-5	0.716942832080698
V24	J2-7	1.03201263327653
V26	J1-1	0.802365096179027
V26	J1-2	0.978637131135157
V26	J1-3	0.254460603146437
V26	J1-4	0.162134049644208
V26	J1-5	0.22951805659729
V26	J1-6	0.800111723422155
V26	J1-7	0.891761054804048
V26	J2-1	0.130159113658236
V26	J2-2	0.629670068878185
V26	J2-3	0.0575102349618653
V26	J2-4	0.102281866837745
V26	J2-5	0.0912410332342838
V26	J2-7	0.498747237794162
V29	J1-1	0.985781210050075
V29	J1-2	1.92410940269303
V29	J1-3	0.412200083033463
V29	J1-4	1.38864633044616
V29	J1-5	1.8639979421637
V29	J1-6	1.1373042082458
V29	J1-7	1.0771204390988
V29	J2-1	2.27704011057045
V29	J2-2	2.07056189039234
V29	J2-3	2.66747546297393
V29	J2-4	1.28597829805925
V29	J2-5	1.50762858410477
V29	J2-7	1.07925405335218
V3	J1-1	1.21481679053006
V3	J1-2	2.58757562897529
V3	J1-3	0.754855378161039
V3	J1-4	0.274165140554869
V3	J1-5	0.425207657400148
V3	J1-6	1.1445149484705
V3	J1-7	1.34799297088236
V3	J2-1	0.316009778350106
V3	J2-2	1.36906252833713
V3	J2-3	0.227985197718388
V3	J2-4	0.157989907044888
V3	J2-5	0.288112201064879
V3	J2-7	1.08930806214889
V30	J1-1	1.56473846138904
V30	J1-2	2.02824631960785
V30	J1-3	0.103016366707118
V30	J1-4	0.313941264028183
V30	J1-5	0.741296434645425
V30	J1-6	0.307928020031023
V30	J1-7	0.599908695397363
V30	J2-1	0.577567433088246
V30	J2-2	0.140949856260865
V30	J2-3	0.920379968983977
V30	J2-4	0.406234307080523
V30	J2-5	1.05221559307609
V30	J2-7	0.312188632245964
V4	J1-1	0.826728496010369
V4	J1-2	1.70096312778888
V4	J1-3	0.31817701097881
V4	J1-4	0.279965197262118
V4	J1-5	0.33030717048392
V4	J1-6	0.898769199327274
V4	J1-7	1.17627122650081
V4	J2-1	0.23165211548399
V4	J2-2	1.12351078728423
V4	J2-3	0.269682998331178
V4	J2-4	0.157555539808383
V4	J2-5	0.2079793913024
V4	J2-7	0.289865678235834
V5	J1-1	1.00955111271396
V5	J1-2	1.1585688246159
V5	J1-3	0.50844724996226
V5	J1-4	0.307661912583421
V5	J1-5	0.156551132584815
V5	J1-6	0.561137156176445
V5	J1-7	1.02559107422414
V5	J2-1	0.339249690084767
V5	J2-2	0.95130060390964
V5	J2-3	0.33201830157312
V5	J2-4	0.059446292439023
V5	J2-5	0.0686947627529991
V5	J2-7	0.747153061206066
V122	J1-1	1.08249262057725
V122	J1-2	3.4186601156916
V122	J1-3	0.354814729520462
V122	J1-4	0.237751033190781
V122	J1-5	1.20554747148529
V122	J1-6	0.533231099232692
V122	J1-7	0.752895646710296
V122	J2-1	1.60962423798666
V122	J2-2	0.233308180143414
V122	J2-3	2.15770230292592
V122	J2-4	1.45569748436878
V122	J2-5	1.520540640538
V122	J2-7	0.530514114232851
